g_form,L_ctx,wall,C,var,local_exponent
exp,2048,D≤1.8e13,1.9952623149688827e+23,D,0.5776336492719523
exp,2048,D≤1.8e13,2.5118864315095718e+23,D,0.5749970123880601
exp,2048,D≤1.8e13,3.162277660168379e+23,D,0.5725791433427361
exp,2048,D≤1.8e13,3.9810717055349855e+23,D,0.5703598980287197
exp,2048,D≤1.8e13,5.011872336272756e+23,D,0.5683303454374169
exp,2048,D≤1.8e13,6.309573444801942e+23,D,0.5664770968785504
exp,2048,D≤1.8e13,7.94328234724279e+23,D,0.5647842877413396
exp,2048,D≤1.8e13,1e+24,D,0.5632404546515843
exp,2048,D≤1.8e13,1.2589254117941714e+24,D,0.5618334524344348
exp,2048,D≤1.8e13,1.584893192461124e+24,D,0.5605594071154201
exp,2048,D≤1.8e13,1.9952623149688828e+24,D,0.559397430482953
exp,2048,D≤1.8e13,2.511886431509572e+24,D,0.558339703873088
exp,2048,D≤1.8e13,3.1622776601683796e+24,D,0.5573813462396373
exp,2048,D≤1.8e13,3.9810717055349857e+24,D,0.5565121011130287
exp,2048,D≤1.8e13,5.011872336272756e+24,D,0.5557290329130211
exp,2048,D≤1.8e13,6.309573444801943e+24,D,0.5550126566314759
exp,2048,D≤1.8e13,7.943282347242789e+24,D,0.5543672358405871
exp,2048,D≤1.8e13,1e+25,D,0.49343999166832475
exp,2048,D≤1.8e13,1.2589254117941714e+25,D,0.21640723997226985
exp,2048,D≤1.8e13,1.5848931924611239e+25,D,-1.4210854715202004e-14
exp,2048,D≤1.8e13,1.995262314968883e+25,D,0.0
exp,2048,D≤1.8e13,2.5118864315095717e+25,D,0.0
exp,2048,D≤1.8e13,3.1622776601683795e+25,D,0.0
exp,2048,D≤1.8e13,3.9810717055349854e+25,D,0.0
exp,2048,D≤1.8e13,5.0118723362727555e+25,D,0.0
exp,2048,D≤1.8e13,6.309573444801943e+25,D,0.0
exp,2048,D≤1.8e13,7.943282347242788e+25,D,1.4210854715202004e-14
exp,2048,D≤1.8e13,1e+26,D,0.0
exp,2048,D≤1.8e13,1.2589254117941714e+26,D,0.0
exp,2048,D≤1.8e13,1.584893192461124e+26,D,0.0
exp,2048,D≤1.8e13,1.995262314968883e+26,D,0.0
exp,2048,D≤1.8e13,2.511886431509572e+26,D,1.4210854715202004e-14
exp,2048,D≤1.8e13,3.1622776601683796e+26,D,0.0
exp,2048,D≤1.8e13,3.9810717055349854e+26,D,0.0
exp,2048,D≤1.8e13,5.0118723362727554e+26,D,-1.4210854715202004e-14
exp,2048,D≤1.8e13,6.309573444801942e+26,D,0.0
exp,2048,D≤1.8e13,7.94328234724279e+26,D,0.0
exp,2048,D≤1.8e13,1e+27,D,0.0
exp,2048,D≤1.8e13,1000000000000000.0,tokens_per_param,0.09667097812648857
exp,2048,D≤1.8e13,1258925411794166.2,tokens_per_param,0.0966710585790036
exp,2048,D≤1.8e13,1584893192461110.8,tokens_per_param,0.09667098199185986
exp,2048,D≤1.8e13,1995262314968882.8,tokens_per_param,0.09667136708836477
exp,2048,D≤1.8e13,2511886431509582.0,tokens_per_param,0.09667116691676725
exp,2048,D≤1.8e13,3162277660168379.5,tokens_per_param,0.09667097201049302
exp,2048,D≤1.8e13,3981071705534969.0,tokens_per_param,0.09667104012632688
exp,2048,D≤1.8e13,5011872336272715.0,tokens_per_param,0.09667084144057725
exp,2048,D≤1.8e13,6309573444801943.0,tokens_per_param,0.09667139092462751
exp,2048,D≤1.8e13,7943282347242821.0,tokens_per_param,0.0966710108377411
exp,2048,D≤1.8e13,1e+16,tokens_per_param,0.09667103580585046
exp,2048,D≤1.8e13,1.2589254117941714e+16,tokens_per_param,0.09667179152533656
exp,2048,D≤1.8e13,1.5848931924611108e+16,tokens_per_param,0.09667159874857756
exp,2048,D≤1.8e13,1.9952623149688828e+16,tokens_per_param,0.09667082910044922
exp,2048,D≤1.8e13,2.511886431509572e+16,tokens_per_param,0.09667025640860061
exp,2048,D≤1.8e13,3.162277660168379e+16,tokens_per_param,0.0966707005640206
exp,2048,D≤1.8e13,3.981071705534986e+16,tokens_per_param,0.09667147841777268
exp,2048,D≤1.8e13,5.0118723362727144e+16,tokens_per_param,0.09667245412734449
exp,2048,D≤1.8e13,6.309573444801943e+16,tokens_per_param,0.09667259163814279
exp,2048,D≤1.8e13,7.943282347242789e+16,tokens_per_param,0.09667141884810437
exp,2048,D≤1.8e13,1e+17,tokens_per_param,0.09666984220467612
exp,2048,D≤1.8e13,1.2589254117941714e+17,tokens_per_param,0.09667014064422119
exp,2048,D≤1.8e13,1.584893192461111e+17,tokens_per_param,0.09666994916965788
exp,2048,D≤1.8e13,1.995262314968883e+17,tokens_per_param,0.09667109069249591
exp,2048,D≤1.8e13,2.511886431509572e+17,tokens_per_param,0.09667168023250472
exp,2048,D≤1.8e13,3.1622776601683795e+17,tokens_per_param,0.09667100230799175
exp,2048,D≤1.8e13,3.9810717055349856e+17,tokens_per_param,0.09667158782327068
exp,2048,D≤1.8e13,5.011872336272715e+17,tokens_per_param,0.09667093283545469
exp,2048,D≤1.8e13,6.309573444801943e+17,tokens_per_param,0.0966709290989396
exp,2048,D≤1.8e13,7.943282347242789e+17,tokens_per_param,0.09667063951204913
exp,2048,D≤1.8e13,1e+18,tokens_per_param,0.09667154316691562
exp,2048,D≤1.8e13,1.2589254117941714e+18,tokens_per_param,0.09667184373363824
exp,2048,D≤1.8e13,1.5848931924611108e+18,tokens_per_param,0.09667115699184592
exp,2048,D≤1.8e13,1.995262314968883e+18,tokens_per_param,0.09667056538996643
exp,2048,D≤1.8e13,2.511886431509572e+18,tokens_per_param,-1.8753601208274908
exp,2048,D≤1.8e13,3.1622776601683794e+18,tokens_per_param,-2.944200907755814
exp,2048,D≤1.8e13,3.9810717055349857e+18,tokens_per_param,-1.534254274855491
exp,2048,D≤1.8e13,5.011872336272715e+18,tokens_per_param,-0.8668702906388552
exp,2048,D≤1.8e13,6.309573444801943e+18,tokens_per_param,-0.6213205238962796
exp,2048,D≤1.8e13,7.943282347242789e+18,tokens_per_param,-0.4833524529316935
exp,2048,D≤1.8e13,1e+19,tokens_per_param,-0.1635301871128907
exp,2048,D≤1.8e13,1.2589254117941713e+19,tokens_per_param,0.3423019526746387
exp,2048,D≤1.8e13,1.5848931924611109e+19,tokens_per_param,0.5765114289174234
exp,2048,D≤1.8e13,1.9952623149688828e+19,tokens_per_param,0.5666431639728073
exp,2048,D≤1.8e13,2.511886431509572e+19,tokens_per_param,0.5564160954614827
exp,2048,D≤1.8e13,3.162277660168379e+19,tokens_per_param,0.5458328520891045
exp,2048,D≤1.8e13,3.981071705534986e+19,tokens_per_param,0.5349005838396481
