C,L_ctx,g_form,N,D,Q,L,tokens_per_param,C_train,C_quality,C_attn,share_train,share_quality,share_attn,Q_at_lower,Q_at_upper,D_at_wall,regime,wall,mu_N,mu_D,mu_Q,lnN,lnD
6.309573444801943e+17,2048,exp,63504273.420156375,1550122859.9976597,0.6804916175120665,3.637815263143623,24.40974089636065,5.90636555616757e+17,0.0,4.032078886343728e+16,0.9360958562156765,0.0,0.06390414378432352,True,False,False,R0 不投质量(Q*=Q0),无,4.78433240045295e-19,4.7843324933520715e-19,2.323422431822943e-19,17.96661775955373,21.16160002925092
7.943282347242789e+17,2048,exp,70464343.594123,1758731984.3245444,0.6804916175120665,3.56952874673115,24.959176437588066,7.435673690005107e+17,0.0,5.07608657237682e+16,0.9360958562156765,0.0,0.06390414378432352,True,False,False,R0 不投质量(Q*=Q0),无,3.6675089727851506e-19,3.667509125161333e-19,1.9762618227188727e-19,18.07061737521806,21.28785892288599
1e+18,2048,exp,78187240.83347014,1995414780.8878717,0.6804916175120665,3.5036289261304536,25.52097707524782,9.360958562156764e+17,0.0,6.390414378432351e+16,0.9360958562156764,0.0,0.0639041437843235,True,False,False,R0 不投质量(Q*=Q0),无,2.811382053661902e-19,2.811382303501397e-19,1.680968790220314e-19,18.174617031506074,21.414117775897388
1.2589254117941714e+18,2048,exp,86756546.6019612,2263949921.5968437,0.6804916175120665,3.440032552967616,26.09543614021245,1.178474861265138e+18,0.0,8.04505505290334e+16,0.9360958562156765,0.0,0.0639041437843235,True,False,False,R0 不投质量(Q*=Q0),无,2.1550999817602497e-19,2.1550999429207764e-19,1.4297942739320899e-19,18.278616439096183,21.540376877606686
1.5848931924611108e+18,2048,exp,96265063.82665898,2568623013.4308586,0.6804916175120665,3.3786592787003684,26.682816292067134,1.4836119500072804e+18,0.0,1.0128124245383035e+17,0.9360958562156765,0.0,0.06390414378432352,True,False,False,R0 不投质量(Q*=Q0),无,1.6520141858148706e-19,1.652014163320967e-19,1.2161477765889013e-19,18.382616026176144,21.666635799826125
1.995262314968883e+18,2048,exp,106815712.22641405,2914297822.194674,0.6804916175120665,3.3194315536960963,27.28341890392796,1.8677567851056689e+18,0.0,1.2750552986321366e+17,0.9360958562156763,0.0,0.0639041437843235,True,False,False,R0 不投质量(Q*=Q0),无,1.2663650912388204e-19,1.2663650628018075e-19,1.0344224653669644e-19,18.486615591894395,21.79289474340728
2.511886431509572e+18,2048,exp,118522730.08347443,3306491615.805745,0.6804916175120665,3.262274529820184,27.897531667360468,2.3513664798204933e+18,0.0,1.60519951689079e+17,0.9360958562156766,0.0,0.06390414378432352,True,False,False,R0 不投质量(Q*=Q0),无,9.70739844008028e-20,9.707399084811961e-20,8.798495015423303e-20,18.590615315195723,21.919153529405353
3.1622776601683794e+18,2048,exp,178452245.04165426,2052810133.9885821,0.7658292641409238,3.205915461056561,11.503414448551297,2.1979714623271296e+18,8.14258012679718e+17,1.5004818516153206e+17,0.6950596053004706,0.2574909923110173,0.047449402388512134,False,False,False,R1 质量内点(Q0<Q*<1),无,8.413909909019129e-20,8.413910455352401e-20,8.413910311045071e-20,18.999831588609506,21.44247548847976
3.9810717055349857e+18,2048,exp,232681804.76251948,1672969492.2099001,0.8330317552865691,3.1437207453398335,7.189945487647271,2.335617364560212e+18,1.4860095288874634e+18,1.594448120873105e+17,0.5866805567236941,0.37326871727063504,0.04005072600567086,False,False,False,R1 质量内点(Q0<Q*<1),无,6.813293948104528e-20,6.813292864244336e-20,6.813294482775029e-20,19.265182433391228,21.237866023405214
5.011872336272715e+18,2048,exp,280424102.3409058,1591443593.7496188,0.8784102662902583,3.0815825392238034,5.675131276037513,2.6776748472205317e+18,2.1514015528152612e+18,1.8279593623692166e+17,0.5342663714399187,0.42926104426978273,0.03647258429029846,False,False,False,R1 质量内点(Q0<Q*<1),无,5.3439974254039544e-20,5.3439987510721805e-20,5.343998791763642e-20,19.451813666423863,21.187907361865193
