Model,#Params (B),Submission Date,Hub License,Type,Average ⬆️,IFEval,BBH,MATH Lvl 5,GPQA,MUSR,MMLU-PRO,Epoch_AI_Publication_Date,Epoch_AI_Organization,Epoch_AI_Open_Weights
AuraIndustries/Aura-8B,8.03,2024-12-10,apache-2.0,"💬 chat models (RLHF, DPO, IFT, ...)",27.363297533889394,72.05315230255721,30.98134841070972,15.181268882175228,4.809843400447425,9.22265625,31.93151595744681,,,
AuraIndustries/Aura-MoE-2x4B,7.231,2024-12-14,,"💬 chat models (RLHF, DPO, IFT, ...)",16.79797839924053,46.00969871053249,20.61384808360901,3.096676737160121,2.9082774049217,9.83046875,18.32890070921986,,,
AuraIndustries/Aura-MoE-2x4B-v2,7.231,2024-12-15,,"💬 chat models (RLHF, DPO, IFT, ...)",17.515881576703762,47.77822843388875,20.801181076748463,3.1722054380664653,5.033557046979867,10.42447916666667,17.88563829787234,,,
Aurel9/testmerge-7b,7.242,2024-11-16,,🤝 base merges and moerges,20.96930213435916,39.79984219648311,32.79279332763635,6.570996978851963,6.711409395973152,17.133072916666666,22.807697990543733,,,
Ayush-Singh/Llama1B-sft-2,1.236,2025-02-05,,🔶 fine-tuned on domain-specific datasets,3.169322945076769,13.743755457741017,1.2375708061002186,0.0,0.0,2.734375,1.300236406619384,,,
Azure99/Blossom-V6-14B,14.77,2025-01-30,apache-2.0,"💬 chat models (RLHF, DPO, IFT, ...)",32.80581546858162,63.95486198841297,30.3528011952772,52.567975830815705,1.6778523489932915,8.906770833333335,39.3746306146572,,,
Azure99/Blossom-V6-7B,7.616,2025-01-30,apache-2.0,"💬 chat models (RLHF, DPO, IFT, ...)",31.04565038906736,55.38194213575535,29.447521285247884,45.84592145015105,7.270693512304249,13.395052083333336,34.932771867612296,,,
Azure99/blossom-v5-32b,32.512,2024-09-21,apache-2.0,"💬 chat models (RLHF, DPO, IFT, ...)",27.724659940062114,52.3544196066437,42.883055884713976,18.65558912386707,8.165548098434002,8.350000000000001,35.93934692671394,,,
Azure99/blossom-v5-llama3-8b,8.03,2024-09-21,apache-2.0,"💬 chat models (RLHF, DPO, IFT, ...)",14.598962808998438,43.4293230849701,18.306535405618444,5.13595166163142,2.0134228187919474,5.3109375000000005,13.397606382978722,,,
Azure99/blossom-v5.1-34b,34.389,2024-07-27,apache-2.0,"💬 chat models (RLHF, DPO, IFT, ...)",30.298681690900175,56.96562897556262,44.14770458838461,25.90634441087613,7.941834451901568,7.298958333333334,39.53161938534279,,,
Azure99/blossom-v5.1-9b,8.829,2024-07-24,apache-2.0,"💬 chat models (RLHF, DPO, IFT, ...)",26.470194407631528,50.85816744016986,34.20124449031171,21.22356495468278,11.409395973154364,8.024479166666667,33.10431442080379,,,
BAAI/Gemma2-9B-IT-Simpo-Infinity-Preference,9.242,2024-09-05,,🔶 fine-tuned on domain-specific datasets,22.607935619579848,31.763831079313995,42.19084405906616,9.743202416918429,11.968680089485462,8.104947916666669,31.876108156028373,,,
BAAI/Infinity-Instruct-3M-0613-Llama3-70B,70.554,2024-06-28,apache-2.0,🔶 fine-tuned on domain-specific datasets,35.578242909223654,68.21134589555712,51.32716098252212,21.52567975830816,14.429530201342288,16.53255208333333,41.44318853427896,,,
BAAI/Infinity-Instruct-3M-0613-Mistral-7B,7.242,2024-06-27,apache-2.0,🔶 fine-tuned on domain-specific datasets,22.29353000800769,53.19873491225504,28.992936470320583,8.157099697885197,6.152125279642054,13.252083333333331,24.00820035460993,,,
BAAI/Infinity-Instruct-3M-0625-Llama3-70B,70.554,2024-08-30,apache-2.0,🔶 fine-tuned on domain-specific datasets,36.91009196843762,74.42120240960651,52.02816164280523,22.507552870090635,14.317673378076066,18.34036458333333,39.84559692671394,,,
BAAI/Infinity-Instruct-3M-0625-Llama3-8B,8.03,2024-07-13,apache-2.0,"💬 chat models (RLHF, DPO, IFT, ...)",22.06253195877917,60.50268842227513,28.9882222457564,8.836858006042297,3.355704697986576,5.667708333333335,25.02401004728132,,,
BAAI/Infinity-Instruct-3M-0625-Mistral-7B,7.242,2024-08-05,apache-2.0,🔶 fine-tuned on domain-specific datasets,22.843425216048672,58.67420666054956,28.82328942958971,7.628398791540786,4.921700223713646,12.23828125,24.774674940898343,,,
BAAI/Infinity-Instruct-3M-0625-Qwen2-7B,7.616,2024-08-05,apache-2.0,🔶 fine-tuned on domain-specific datasets,26.199808011295485,55.53930238434022,34.65682860864863,19.259818731117825,8.389261744966444,6.461718749999999,32.89191784869976,,,
BAAI/Infinity-Instruct-3M-0625-Yi-1.5-9B,8.829,2024-08-05,apache-2.0,🔶 fine-tuned on domain-specific datasets,28.14496041142372,51.85984299436606,35.37870748220464,16.389728096676738,13.870246085011187,16.724739583333335,34.64649822695036,,,
BAAI/Infinity-Instruct-7M-0729-Llama3_1-8B,8.03,2024-08-05,llama3.1,🔶 fine-tuned on domain-specific datasets,23.447423677135685,61.31952109292233,30.88880460756557,12.764350453172204,5.7046979865771785,5.297135416666668,24.710032505910167,,,
