Q,N,D,L,VA,VB,VI,shape,n_local_min,n_local_max,regime,g,C
0.6200709735609296,238965004.7853115,7738616006.201113,3.1879387993275863,3.1879387993275863,3.1981489451058875,3.187957197792517,单调上升,0,0,A,幂函数型,1.4125375446227497e+19
0.714236487544036,320110051.2337207,5270406118.245467,3.160919061248788,3.1616945296514007,3.1640574816137796,3.160919078685677,单谷（内点极小）,1,0,I,幂函数型,1.5848931924611109e+19
1.0,580035412.8484001,2046024806.5601723,3.130894131668172,3.135910004273711,3.130894131668172,3.130904933947857,单调下降,0,0,B,幂函数型,1.7782794100389229e+19
1.0,599629151.113401,2256815457.15257,3.098630249210388,3.110577169443258,3.098630249210388,3.098658337247369,单调下降,0,0,B,幂函数型,1.9952623149688828e+19
1.0,620012792.5384153,2488366354.5638857,3.0672380921793114,3.0856881124935294,3.0672380921793114,3.067282612288404,单调下降,0,0,B,幂函数型,2.238721138568347e+19
1.0,641224049.3121479,2742602184.953692,3.036690794322383,3.061235059371258,3.036690794322383,3.036750921497779,单调下降,0,0,B,幂函数型,2.511886431509572e+19
1.0,663302666.6415316,3021611721.939104,3.0069623379148656,3.037210372208203,3.0069623379148656,3.007037274969126,单调下降,0,0,B,幂函数型,2.8183829312644493e+19
1.0,686290539.1717895,3327660210.8045354,2.9780275273583907,3.013606546935483,2.9780275273583907,2.9781165040916653,单调下降,0,0,B,幂函数型,3.162277660168379e+19
1.0,710231834.0530524,3663202526.061282,2.9498619636305365,2.9904162109396886,2.9498619636305365,2.949964236029052,单调下降,0,0,B,幂函数型,3.5481338923357606e+19
1.0,735173121.0042012,4030897137.454415,2.9224420195580656,2.9676321207600607,2.9224420195580656,2.9225568690209283,单调下降,0,0,B,幂函数型,3.981071705534986e+19
1.0,761163509.7397723,4433620920.58058,2.8957448158871593,2.9452471598260095,2.8957448158871593,2.895871548480543,单调下降,0,0,B,幂函数型,4.466835921509617e+19
1.0,788254795.1415616,4874484849.481801,2.8697481981247286,2.923254336234259,2.8697481981247286,2.8698861438625265,单调下降,0,0,B,幂函数型,5.011872336272715e+19
1.0,816501610.5727689,5356850609.954463,2.844430714125595,2.9016467805649513,2.844430714125595,2.844579226275635,单调下降,0,0,B,幂函数型,5.6234132519034905e+19
1.0,845961589.7493876,5884348173.903186,2.8197715924009676,2.880417743735984,2.8197715924009676,2.8199300468158897,单调下降,0,0,B,幂函数型,6.309573444801943e+19
1.0,876695537.6010665,6460894376.918127,2.7957507211243193,2.8595605948949516,2.7957507211243193,2.7959185155962336,单调下降,0,0,B,幂函数型,7.0794578438414025e+19
1.0,908767610.5715232,7090712543.4179,2.772348627811371,2.839068819348011,2.772348627811371,2.7725251814494225,单调下降,0,0,B,幂函数型,7.94328234724279e+19
1.0,942245506.8277607,7778353206.227175,2.749546459651471,2.8189360165250195,2.749546459651471,2.749731212281433,单调下降,0,0,B,幂函数型,8.91250938133744e+19
1.0,977200666.8667079,8528715970.410146,2.7273259644682613,2.799155897980343,2.7273259644682613,2.7275183760533004,单调下降,0,0,B,幂函数型,1e+20
1.0,1013708485.0287449,9347072574.61846,2.705669472288017,2.7797222854286585,2.705669472288017,2.7058690223697752,单调下降,0,0,B,幂函数型,1.1220184543019654e+20
1.0,1051848532.4490256,10239091207.194933,2.684559877494646,2.7606291088151833,2.684559877494646,2.6847660646537816,单调下降,0,0,B,幂函数型,1.2589254117941713e+20
1.0,1091704792.0004666,11210862138.868979,2.6639806215507944,2.7418704044197044,2.6639806215507944,2.664192962886136,单调下降,0,0,B,幂函数型,1.4125375446227496e+20
1.0,1133365905.8062432,12268924739.149069,2.6439156762650358,2.723440312993814,2.6439156762650358,2.644133706890507,单调下降,0,0,B,幂函数型,1.5848931924611108e+20
