g,C,Q,N_B,D_B,L,s_Q,s_attn,s_train,n_local,shape,loc_Q,active
幂函数型,3.1622776601683794e+20,0.9999999777760276,1.4268543142543015,20.85972504561365,2.533491797897354,0.2810633731423339,0.1542084427947738,0.5647281840628923,0,单调下降（上角点 $Q=1$）,[],True
幂函数型,4.216965034285823e+20,0.9999999777760276,1.5750584359709896,25.88401897926791,2.4920635825863067,0.26153353504434274,0.15839749897666383,0.5800689659789935,0,单调下降（上角点 $Q=1$）,[],True
幂函数型,5.6234132519034906e+20,0.9999999777760276,1.7416304404305407,32.01649191416793,2.453046355728668,0.2425880583469371,0.1624612124534429,0.5949507291996199,0,单调下降（上角点 $Q=1$）,[],True
幂函数型,7.498942093324558e+20,0.9999999777760276,1.9291160224597634,39.4760027057921,2.41626705087651,0.2242997783939424,0.16638396039476394,0.6093162612112937,0,单调下降（上角点 $Q=1$）,[],True
幂函数型,1e+21,0.9999999777760276,2.140427046854057,48.519471150501786,2.381566451479644,0.2067339168304983,0.17015175307196687,0.6231143300975348,0,单调下降（上角点 $Q=1$）,[],True
幂函数型,1.333521432163324e+21,0.9999999777760276,2.3788930874504652,59.447861538415836,2.34879814566873,0.1899467692691635,0.17375251534737676,0.6363007153834598,0,单调下降（上角点 $Q=1$）,[],True
幂函数型,1.7782794100389228e+21,0.9999999777760276,2.6483162407763112,72.61323230729444,2.3178275512524196,0.17398485430809085,0.1771762692058054,0.6488388764861037,0,单调下降（上角点 $Q=1$）,[],True
幂函数型,2.3713737056616553e+21,0.9999999777760276,2.953040518825584,88.42684998848681,2.2885310045007783,0.15888387708747648,0.18041535606669964,0.6607007668458239,0,单调下降（上角点 $Q=1$）,[],True
幂函数型,3.1622776601683794e+21,0.9999999777760276,3.2980235796200916,107.36885246737741,2.2607949072147115,0.14466850247984628,0.18346448543373214,0.6718670120864215,0,单调下降（上角点 $Q=1$）,[],True
幂函数型,4.2169650342858226e+21,0.9999999777760276,3.688921939856974,129.9995464523809,2.2345149274996103,0.1313522485247924,0.18632075775253717,0.6823269937226704,0,单调下降（上角点 $Q=1$）,[],True
幂函数型,5.623413251903491e+21,0.9999999777760276,4.132186575805515,156.97274275785847,2.2095952505345577,0.11893780549445862,0.18898359597270095,0.6920785985328404,0,单调下降（上角点 $Q=1$）,[],True
幂函数型,7.498942093324559e+21,0.9999999777760276,4.635171723300931,189.05147000711636,2.1859478764178006,0.10741767129685474,0.19145460925681204,0.7011277194463332,0,单调下降（上角点 $Q=1$）,[],True
幂函数型,1e+22,0.9999999777760276,5.206258623216794,227.12648741731388,2.1634919628401663,0.09677506214790754,0.19373739764569392,0.7094875402063986,0,单调下降（上角点 $Q=1$）,[],True
幂函数型,1.3335214321633241e+22,0.9999999777760276,5.854996363373814,272.23807734637296,2.142153210864914,0.08698503516493382,0.19583731126751316,0.717177653567553,0,单调下降（上角点 $Q=1$）,[],True
幂函数型,1.7782794100389228e+22,0.9999999777760276,6.592262260031582,325.60167256775856,2.1218632924620056,0.0780157524518866,0.19776117919758446,0.7242230683505289,0,单调下降（上角点 $Q=1$）,[],True
幂函数型,2.371373705661655e+22,0.9999999777760276,7.430444558589732,388.6379612919138,2.102559318658079,0.06982981535752042,0.19951702326642215,0.7306531613760576,0,单调下降（上角点 $Q=1$）,[],True
幂函数型,3.1622776601683792e+22,0.9999999777760276,8.383650607698442,463.00821813254197,2.0841833472350086,0.062385602540968435,0.2011137710511203,0.7365006264079113,0,单调下降（上角点 $Q=1$）,[],True
幂函数型,4.2169650342858225e+22,0.9999999777760276,9.467943718536075,550.6557546890534,2.066681928865146,0.055638556837595,0.20256097984882754,0.7418004633135773,0,单调下降（上角点 $Q=1$）,[],True
幂函数型,5.623413251903491e+22,0.9999999777760276,10.701615119708874,653.8543837426712,2.050005690441977,0.0495423626732748,0.20386858412705627,0.746589053199669,0,单调下降（上角点 $Q=1$）,[],True
幂函数型,7.498942093324558e+22,0.9999999777760276,12.105489430431962,775.2654305853025,2.034108954185043,0.04405001832955428,0.2050466655279716,0.7509033161424742,0,单调下降（上角点 $Q=1$）,[],True
幂函数型,1.0000000000000001e+23,0.9999999777760276,13.703277449710445,918.0042389556774,2.0189493908996696,0.03911473218609992,0.20610526062870418,0.754780007185196,0,单调下降（上角点 $Q=1$）,[],True
幂函数型,1.3335214321633241e+23,0.9999999777760276,15.521973359394762,1085.7183230258227,2.0044877055824606,0.03469068229844094,0.2070541980155837,0.7582551196859754,0,单调下降（上角点 $Q=1$）,[],True
幂函数型,1.7782794100389228e+23,0.9999999777760276,17.5923228948646,1282.6778017710258,1.9906873534030876,0.030733587167821996,0.2079029758567554,0.7613634369754226,0,单调下降（上角点 $Q=1$）,[],True
