model,date,IFEval,BBH,MATH Lvl 5,GPQA,MUSR,MMLU-PRO,IFEval_se,BBH_se,MATH Lvl 5_se,GPQA_se,MUSR_se,MMLU-PRO_se,C8_mean6
01-ai__Yi-1.5-9B-Chat-16K,2024-06-16,0.3512014787430684,0.5124110397500434,0.12613293051359517,0.3080357142857143,0.4087301587301587,0.39935172872340424,0.02054169202485476,0.0061539588189731265,0.008812612202709059,0.02183678079636641,0.017409349287697377,0.0044651601146052525,0.3509771751243307
01-ai__Yi-34B,2024-06-16,0.24584103512014788,0.5450442631487589,0.0445619335347432,0.37276785714285715,0.4113756613756614,0.441156914893617,0.018529417080795585,0.006013886123404511,0.00561287587084195,0.02287070857162461,0.017586166963784792,0.004526792866476766,0.3434579442026309
01-ai__Yi-34B-200K,2024-06-16,0.12384473197781885,0.5401839958340566,0.0445619335347432,0.3638392857142857,0.38095238095238093,0.45345744680851063,0.014175305492766615,0.00599539356928711,0.005596431913640338,0.022755399088186735,0.01688247440101207,0.00453867825045957,0.317806629136966
01-ai__Yi-34B-Chat,2024-06-16,0.4121996303142329,0.5526818260718626,0.06268882175226587,0.33482142857142855,0.3968253968253968,0.4093251329787234,0.0211822381517332,0.0060035158311881635,0.005498045918941254,0.022321428571428624,0.017294217551075335,0.004482884901882624,0.3614237060856517
01-ai__Yi-6B,2024-06-16,0.22735674676524953,0.42666203784065265,0.015105740181268883,0.27232142857142855,0.39285714285714285,0.29911901595744683,0.018036262673640086,0.006099205719222101,0.0033520875827405174,0.021055082129324162,0.017438210200092504,0.0041743925516343604,0.2722370186955316
01-ai__Yi-6B-200K,2024-06-16,0.07393715341959335,0.4245790661343517,0.012084592145015106,0.27232142857142855,0.4576719576719577,0.2844082446808511,0.011260423217804703,0.00607161935827538,0.003000536210395074,0.021055082129324162,0.0178109988361925,0.004112944902474708,0.2541670737705329
01-ai__Yi-6B-Chat,2024-06-16,0.2809611829944547,0.40878319736156915,0.006797583081570997,0.27455357142857145,0.36772486772486773,0.3061003989361702,0.019342047683777005,0.006179684152488275,0.002257611738251521,0.02110874729063385,0.017076451159461253,0.004201742207528884,0.2741534669212007
01-ai__Yi-9B,2024-06-17,0.2144177449168207,0.492622808540184,0.04380664652567976,0.31473214285714285,0.40476190476190477,0.35738031914893614,0.017661570312173917,0.006133743025116686,0.005580988274930964,0.021965797142222642,0.017504592702130724,0.004369094757259934,0.30462026112511137
01-ai__Yi-9B-200K,2024-06-16,0.18484288354898337,0.4780420065960771,0.0581570996978852,0.34375,0.42857142857142855,0.36220079787234044,0.016704179558503913,0.0061489111958227885,0.006297624695420628,0.02246478414865448,0.01778415211275038,0.004381933916687814,0.30926070271445244
01-ai__Yi-Coder-9B-Chat,2024-09-13,0.4214417744916821,0.48029855927790316,0.02945619335347432,0.25,0.39814814814814814,0.24251994680851063,0.021249340085831084,0.006247573024217962,0.004636454604340562,0.02048079801297601,0.01744208650107531,0.003907585318909895,0.30364410367995304
1-800-LLMs__Qwen-2.5-14B-Hindi,2025-02-06,0.5212569316081331,0.6497135913903836,0.25075528700906347,0.34151785714285715,0.44841269841269843,0.5262632978723404,0.021497120515987764,0.005795664597170575,0.011348825720474855,0.022429776589214533,0.018020947622578245,0.004552177567257872,0.4563199439059127
1-800-LLMs__Qwen-2.5-14B-Hindi-Custom-Instruct,2025-02-06,0.2809611829944547,0.6257594167679222,0.30589123867069484,0.36830357142857145,0.44841269841269843,0.516373005319149,0.019342047683776974,0.00588409904833473,0.011681741668351592,0.022814103859296185,0.01785053051124458,0.004556025737149051,0.4242835189322484
1024m__PHI-4-Hindi,2025-02-06,0.005545286506469501,0.669675403575768,0.2311178247734139,0.4107142857142857,0.49074074074074076,0.523936170212766,0.00319563831913492,0.005604309373402638,0.010628566071015975,0.023269073926503153,0.018056443313503097,0.004553243960884355,0.38862161858724065
