model_dir,BBH,GPQA,IFEval,MATH Lvl 5,MMLU-PRO,MUSR
EpistemeAI2_Fireball-Alpaca-Llama3.1.06-8B-Philos-dpo,48.672105537233115,29.78187919463087,48.65756193566404,11.706948640483382,36.14527925531915,39.285714285714285
EpistemeAI2_Fireball-Alpaca-Llama3.1.07-8B-Philos-Math,48.324943586182954,29.61409395973154,50.790790657677185,12.009063444108762,35.305851063829785,40.60846560846561
EpistemeAI2_Fireball-Alpaca-Llama3.1.08-8B-C-R1-KTO-Reflection,49.34907134178094,29.949664429530205,39.52257787115963,12.462235649546828,35.929188829787236,40.476190476190474
EpistemeAI2_Fireball-Alpaca-Llama3.1.08-8B-Philos-C-R1,48.15136261065787,29.697986577181208,53.16382753316755,10.876132930513595,35.231050531914896,41.00529100529101
EpistemeAI2_Fireball-Llama-3.1-8B-Philos-Reflection,48.758896024995664,30.788590604026844,35.96047376516532,12.83987915407855,35.505319148936174,39.55026455026455
EpistemeAI2_Fireball-MathMistral-Nemo-Base-2407-v2dpo,42.891859052247874,26.34228187919463,30.972043067948597,3.2477341389728096,11.477726063829788,40.21164021164021
EpistemeAI2_Fireball-Meta-Llama-3.1-8B-Instruct-Agent-0.003-128K-code-math,47.89099114737025,30.453020134228186,55.154656311919034,12.009063444108762,34.20046542553192,36.904761904761905
EpistemeAI2_Fireball-Meta-Llama-3.1-8B-Instruct-Agent-0.005-128K-code-COT,47.769484464502696,31.20805369127517,46.33195476890207,11.706948640483382,35.64660904255319,37.698412698412696
EpistemeAI2_Fireball-Phi-3-medium-4k-inst-Philos,61.56917201874674,33.22147651006711,53.12880933700359,12.990936555891238,45.98570478723404,41.269841269841265
EpistemeAI_Alpaca-Llama3.1-8B,47.38760631834751,29.026845637583893,15.986914719610635,4.1540785498489425,32.463430851063826,33.99470899470899
EpistemeAI_Athena-gemma-2-2b-it,42.562055198750215,26.845637583892618,31.341728835046567,4.909365558912387,24.21875,43.386243386243386
EpistemeAI_Athena-gemma-2-2b-it-Philos,37.66707168894289,28.104026845637588,46.20950189940469,3.7009063444108756,22.481715425531913,42.98941798941799
EpistemeAI_Athene-codegemma-2-7b-it-alpaca-v1.3,43.169588613088,28.02013422818792,40.299405577201824,5.589123867069486,25.872672872340424,44.97354497354497
EpistemeAI_DeepPhi-3.5-mini-instruct,28.38048949835098,23.322147651006713,13.25915238234551,0.6797583081570997,11.028922872340425,36.507936507936506
EpistemeAI_DeepThinkers-Phi4,67.69658045478215,34.060402684563755,69.39786433330231,45.84592145015105,52.576462765957444,39.682539682539684
EpistemeAI_FineLlama3.1-8B-Instruct,45.443499392466585,28.02013422818792,8.000992921005155,2.3413897280966767,31.125332446808514,34.78835978835979
