Model,date,#Params (B),S_avg,S_pc1,mtype,open_R2,lic,IFEval,BBH,MATH Lvl 5,GPQA,MUSR,MMLU-PRO,C_FLOPs
LeroyDyer/SpydazWeb_AI_HumanAI_011_INSTRUCT,2024-11-26,7.242,9.775896143015682,10.200346975098729,finetuned,False,(缺失),31.48667757106699,9.415285279602362,1.4350453172205435,3.9149888143176734,5.793229166666667,6.610150709219859,
LeroyDyer/SpydazWeb_AI_HumanAI_009_CHAT,2024-11-26,7.242,9.615900799535378,11.006485497898415,finetuned,False,(缺失),29.73310815303395,7.033815600268059,1.6616314199395772,4.138702460850116,10.31875,4.809397163120566,
nbeerbower/Mistral-Nemo-Prism-12B-v2,2024-11-26,12.248,28.07046513725069,27.54336977846011,finetuned,True,apache-2.0,69.74006746543614,36.19978764533613,8.91238670694864,7.38255033557047,17.6640625,28.52393617021276,
Junhoee/Qwen-Megumin,2024-11-26,15.231,33.992180349901545,30.349271428136404,chat,False,(缺失),71.41118897857685,33.64214368642437,49.01812688821752,6.152125279642054,8.187239583333335,35.54225768321512,
aloobun/d-SmolLM2-360M,2024-11-26,0.362,6.184070904256285,6.969163500866896,finetuned,True,apache-2.0,20.97035864838628,4.762820747165694,1.283987915407855,0.4474272930648763,7.7578125,1.8820183215130024,
oopere/pruned40-llama-1b,2024-11-26,0.914,6.608357202270273,7.928508581676903,pretrained,True,llama3.2,22.843832143157933,2.6553089313766187,0.7552870090634441,0.0,12.483333333333334,0.912381796690307,
nbeerbower/Nemo-Loony-12B-experimental,2024-11-26,12.248,10.46956739279853,9.377012123950683,merge,False,(缺失),37.3443574161004,12.974588389942944,1.5105740181268883,2.684563758389265,1.7578124999999991,6.545508274231676,
recoilme/recoilme-gemma-2-9B-v0.5,2024-11-26,10.159,33.229967443633754,31.883102106316528,chat,False,(缺失),76.64186580495308,42.353355406534206,21.148036253776432,11.521252796420578,12.163802083333335,35.551492316784866,
nbeerbower/SmolNemo-12B-FFT-experimental,2024-11-26,12.248,8.496288137169051,8.144181916321324,finetuned,True,apache-2.0,33.48005514257725,6.542438534179723,1.283987915407855,1.342281879194629,5.920572916666669,2.40839243498818,
akjindal53244/Llama-3.1-Storm-8B,2024-11-26,8.03,29.94392423913393,27.679988932493487,chat,True,llama3.1,80.50616807847622,31.494363445102696,17.220543806646525,10.17897091722595,9.116927083333328,31.146572104018905,
djuna/MN-Chinofun-12B-2,2024-11-26,12.248,25.682587776893183,25.09683162267655,merge,False,(缺失),61.70671595810227,29.526083526964456,13.066465256797583,7.38255033557047,13.354166666666664,29.05954491725768,
FlofloB/83k_continued_pretraining_Qwen2.5-0.5B-Instruct_Unsloth_merged_16bit,2024-11-26,0.5,8.427461121141809,8.142679310116439,pretrained,True,apache-2.0,28.69397642699149,8.132273330945772,3.0211480362537766,3.1319910514541416,1.4184895833333335,6.166888297872341,
netcat420/MFANNv0.25,2024-11-26,8.03,16.59696503760558,16.085384186562997,merge,True,llama3.1,34.666573580322435,25.409784264889016,5.81570996978852,4.026845637583895,3.632291666666667,26.03058510638298,
netcat420/MFANN-Llama3.1-Abliterated-SLERP-V5,2024-11-26,8.03,19.493723327477287,18.88375227288818,merge,False,(缺失),43.289471934467215,27.36714348720693,8.157099697885197,5.8165548098434,5.165625000000001,27.16644503546099,
netcat420/MFANN-Llama3.1-Abliterated-SLERP-TIES-V3,2024-11-26,8.03,19.222030340557662,18.71792316711323,finetuned,False,(缺失),42.38021782204551,26.978850946197483,7.552870090634441,6.263982102908276,4.491145833333334,27.665115248226947,
cpayne1303/cp2024,2024-11-26,0.031,3.702132658945494,3.80664124781525,pretrained,True,apache-2.0,16.58144833486261,2.7391414141414145,0.5287009063444109,0.7829977628635317,0.4557291666666662,1.124778368794326,
nbeerbower/Mistral-Nemo-Prism-12B-v7,2024-11-26,12.248,28.03478834595649,27.384329066544396,finetuned,True,apache-2.0,69.61517662025648,36.44001728504705,8.685800604229607,6.599552572706939,18.085677083333334,28.782505910165483,
DreadPoor/Alita99-8B-LINEAR,2024-11-26,8.03,29.392264436250034,28.094651429163353,merge,True,apache-2.0,71.90077882241341,35.00891825379863,16.46525679758308,8.83668903803132,12.930729166666667,31.21121453900709,
LeroyDyer/SpydazWeb_AI_HumanAI_010_CHAT,2024-11-26,7.242,8.376848844277914,9.338529051866585,finetuned,False,(缺失),25.06948230694557,7.351959868629893,1.812688821752266,1.230425055928408,10.01484375,4.781693262411347,
LeroyDyer/SpydazWeb_AI_HumanAI_011_INSTRUCT_ML,2024-11-27,7.242,13.939790526210038,15.043674483400203,merge,False,(缺失),37.524213531208304,15.599125312205128,2.56797583081571,5.7046979865771785,10.922916666666666,11.31981382978723,
allenai/Llama-3.1-Tulu-3-70B-SFT,2024-11-27,70.554,38.84849206812736,39.129744384985855,chat,True,llama3.1,80.50616807847622,42.02398394906459,33.157099697885194,12.639821029082771,24.49348958333333,40.270390070921984,
DreadPoor/Sweetened_Condensed_Milk-8B-Model_Stock,2024-11-27,8.03,29.56115847933121,27.245876815838393,merge,False,(缺失),74.17142071924715,34.670888066076664,18.731117824773413,7.046979865771815,11.10130208333333,31.645242316784863,
EpistemeAI/Fireball-Meta-Llama-3.1-8B-Instruct-Agent-0.003-128K-code-ds-auto,2024-11-27,8.03,23.627287074905905,19.52515961577463,finetuned,True,apache-2.0,72.0706614006392,23.544253406580115,13.141993957703926,2.684563758389265,4.171614583333335,26.150635342789595,
LeroyDyer/SpydazWeb_AI_HumanAI_011_INSTRUCT_ML_r1,2024-11-27,7.242,17.981736164423843,17.998255303583633,merge,False,(缺失),40.496770790391714,27.188612130290466,5.5135951661631415,5.7046979865771785,7.250260416666667,21.736480496453904,
TinyLlama/TinyLlama-1.1B-intermediate-step-1431k-3T,2024-11-27,1.1,5.230318100791095,4.949251600067328,pretrained,True,apache-2.0,22.76637100670665,3.547093389508079,1.2084592145015105,0.3355704697986553,2.187239583333333,1.337174940898345,
cpayne1303/cp2024-instruct,2024-11-27,0.031,4.319731373654743,4.990307205724768,pretrained,True,apache-2.0,17.061064641817044,2.481300216779669,0.0,1.342281879194629,3.179427083333332,1.854314420803781,
sequelbox/Llama3.1-70B-PlumChat,2024-11-27,70.554,37.409205844366646,40.580446756006836,merge,True,llama3.1,56.16131863455631,52.81275213512472,30.28700906344411,18.791946308724835,20.138541666666665,46.26366725768322,
CultriX/SeQwence-14Bv3,2024-11-27,14.766,38.665815540663296,39.96139582963512,merge,False,(缺失),57.19047682371663,46.38536750450479,47.65861027190332,15.324384787472036,17.270052083333336,48.16600177304965,
allenai/Llama-3.1-Tulu-3-70B,2024-11-27,70.554,41.45452740659843,42.24128694233009,chat,True,llama3.1,83.79344583482937,45.25948099520497,38.29305135951662,16.442953020134222,24.316927083333336,40.6213061465721,
nbeerbower/Llama-3.1-Nemotron-lorablated-70B,2024-11-27,70.554,40.87645031021374,42.29625350874272,finetuned,True,llama3.1,72.28797368759336,54.18258128894629,33.383685800604226,18.791946308724835,18.354166666666668,48.25834810874704,
BlackBeenie/Neos-Phi-3-14B-v0.1,2024-11-27,13.96,27.032306783654636,27.429664992648085,chat,True,apache-2.0,40.22449323350931,46.63138689861978,17.82477341389728,7.38255033557047,10.534375000000002,39.596261820330966,
jeffmeloy/jeffmeloy_Qwen2.5-7B-minperplexity-1,2024-11-27,7.616,27.475832080246903,29.053498714234834,chat,True,apache-2.0,37.57164323993671,37.821507463733965,29.154078549848943,10.96196868008949,11.928906250000002,37.41688829787233,
CultriX/SeQwence-14Bv1,2024-11-27,14.766,38.625628460880606,39.56571532526425,merge,True,apache-2.0,66.78003253589365,47.19089791628922,36.102719033232624,14.87695749440716,18.80338541666666,47.99977836879433,
Josephgflowers/Tinyllama-STEM-Cinder-Agent-v1,2024-11-27,1.1,5.683635033220809,5.160055557244796,finetuned,True,mit,21.257596510591892,3.731312676862636,6.722054380664652,0.0,1.432291666666666,0.958554964539006,
MaziyarPanahi/calme-3.1-instruct-78b,2024-11-27,77.965,51.28748997363473,54.77403284088708,chat,False,other,81.35547015252862,62.40968270370106,39.27492447129909,19.463087248322143,36.49947916666666,68.72229609929079,
CultriX/SeQwence-14B-EvolMergev1,2024-11-27,14.766,38.4634621004166,40.38394545407532,merge,False,(缺失),55.546837945540055,50.30225894842213,42.14501510574018,16.890380313199106,17.08385416666667,48.81242612293145,
DreadPoor/Condensed_Milk-8B-Model_Stock,2024-11-27,8.03,30.083171334394155,28.343843373913057,merge,False,(缺失),75.3629259254334,35.12062025244797,17.447129909365557,9.50782997762864,11.10130208333333,31.959219858156025,
allenai/Llama-3.1-Tulu-3-70B-DPO,2024-11-27,70.0,42.22441492015548,42.84612721159755,chat,True,llama3.1,82.81925291559727,45.04718091950844,44.93957703927492,16.778523489932887,23.39921875,40.36273640661938,
