Model,date,#Params (B),S_avg,S_pc1,mtype,open_R2,lic,IFEval,BBH,MATH Lvl 5,GPQA,MUSR,MMLU-PRO,C_FLOPs
prithivMLmods/Cygnus-II-14B,2025-03-03,14.766,40.52948756458168,42.39353683380632,finetuned,True,apache-2.0,61.84412913292286,52.14038233919259,43.957703927492446,18.34451901565996,18.10546875,48.78472222222222,
huu-ontocord/wide_3b_orpo_stage1.1-ss1-orpo3,2025-03-03,3.759,4.271382904426972,5.159082699338082,pretrained,False,(缺失),15.05272676498358,2.6258625470390182,0.9818731117824772,1.1185682326621946,4.02265625,1.8266105200945613,
braindao/DeepSeek-R1-Distill-Qwen-14B-Reflective,2025-03-03,14.77,14.389854199470006,14.982323255141289,finetuned,False,(缺失),42.90227706928727,3.035855458967868,19.18429003021148,3.0201342281879207,16.7578125,1.4387559101654843,
braindao/DeepSeek-R1-Distill-Qwen-7B-Blunt,2025-03-03,7.616,12.850779949168643,11.631645865898049,finetuned,False,(缺失),42.66246891581005,2.149818735298187,21.45015105740181,2.796420581655479,6.163802083333335,1.8820183215130024,
bunnycore/Blabbertron-1.0,2025-03-03,7.613,36.2247146459169,33.3669682243044,merge,False,(缺失),74.3337677362731,36.054612445029626,49.24471299093656,6.935123042505594,13.510937500000002,37.2691341607565,
trthminh1112/autotrain-llama32-1b-finetune,2025-03-03,1.1,4.586088234847661,5.08801967109024,finetuned,False,other,17.685518867715437,2.852986635695443,1.5105740181268883,0.8948545861297527,3.475520833333334,1.0970744680851066,
marcuscedricridia/etr1o-explicit-v1.2,2025-03-03,7.613,4.805786982236451,6.619789841702586,merge,False,(缺失),15.04020443534267,1.9825717963953269,0.0,1.45413870246085,8.955989583333334,1.4018173758865236,
prithivMLmods/Condor-Opus-14B-Exp,2025-03-03,14.77,37.617199777677776,42.484541845116,finetuned,True,apache-2.0,40.43183198358135,44.07709222484056,52.26586102719033,18.903803131991047,25.42317708333333,44.60143321513003,
LeroyDyer/_Spydaz_Web_AI_AGI_R1_OmG_Coder,2025-03-03,7.242,22.644667648469397,25.364612426405813,finetuned,True,apache-2.0,49.237024428516335,24.689255801381037,5.438066465256798,3.1319910514541416,32.37395833333334,20.997709810874703,
Xiaojian9992024/Qwen2.5-7B-MS-Destroyer,2025-03-03,7.613,35.4337301147896,32.75812286789713,merge,False,(缺失),72.95741964653786,35.7596547015331,45.9214501510574,7.270693512304249,12.777604166666665,37.9155585106383,
prithivMLmods/Coma-II-14B,2025-03-03,14.766,39.45146855133309,44.82203507007316,finetuned,True,apache-2.0,41.6832892281369,46.89147136445168,55.135951661631424,20.02237136465324,28.08802083333333,44.88770685579197,
YOYO-AI/Qwen2.5-14B-YOYO-V4,2025-03-03,14.766,42.28551883596217,38.553583056520885,merge,True,apache-2.0,83.97828871837835,49.67240339546996,53.47432024169184,9.61968680089485,10.640104166666667,46.3283096926714,
braindao/DeepSeek-R1-Distill-Qwen-7B-Reflective,2025-03-03,7.616,11.718078328507309,10.288600427202859,finetuned,False,(缺失),39.21783091087204,2.0813002167796686,20.241691842900305,0.5592841163310973,6.483333333333332,1.725029550827422,
baconnier/Napoleon_24B_V0.0,2025-03-03,23.572,27.30083551864148,32.503959381511315,finetuned,False,(缺失),18.01021290176731,47.26497234848218,22.734138972809667,17.225950782997764,13.68203125,44.88770685579197,
braindao/DeepSeek-R1-Distill-Qwen-14B-Blunt-Uncensored-Blunt,2025-03-03,14.77,17.9423472074527,17.65744414696825,finetuned,False,(缺失),52.21456845614081,5.067571369076204,25.075528700906347,3.803131991051453,16.120572916666667,5.372709810874704,
marcuscedricridia/etr1o-explicit-v1.1,2025-03-03,7.613,8.109189405741137,9.376084703508196,merge,False,(缺失),28.80390696684797,4.190313048867292,0.4531722054380665,3.691275167785232,9.348177083333333,2.16829196217494,
marcuscedricridia/stray-r1o-et,2025-03-03,7.613,5.1276666327892615,6.979486713711436,merge,False,(缺失),15.622215720953736,2.644668427950033,0.4531722054380665,1.5659955257270708,9.43828125,1.041666666666666,
DreadPoor/ichor-8B-Model_Stock,2025-03-03,8.03,23.325804130424327,23.814377905236007,merge,False,(缺失),53.863194102758456,29.92236880007357,10.876132930513595,9.843400447427292,11.55234375,23.89738475177305,
allura-org/Mistral-Small-Sisyphus-24b-2503,2025-03-03,23.572,32.50290014221418,28.342884641292116,finetuned,True,apache-2.0,68.48362345243953,46.42097750457095,25.0,1.6778523489932915,7.577604166666668,45.85734338061466,
prithivMLmods/Epimetheus-14B-Axo,2025-03-04,14.766,39.08056006814201,42.010527274112945,finetuned,True,apache-2.0,55.4643900406477,51.45544715649952,41.012084592145015,19.01565995525727,19.711458333333336,47.82432033096927,
Daemontatox/Zirel_1.5,2025-03-04,1.544,14.243506396749902,12.377539424259366,finetuned,True,apache-2.0,41.67575366693706,15.082126333167832,11.329305135951662,1.342281879194629,3.3265625,12.705008865248226,
DoppelReflEx/MiniusLight-24B,2025-03-04,23.572,26.210340083042343,30.219199318647213,merge,True,cc-by-nc-4.0,25.766410900854176,46.002968874248914,12.613293051359516,14.429530201342288,12.989583333333329,45.46025413711584,
prithivMLmods/Magellanic-Qwen-25B-R999,2025-03-04,24.962,4.9765268528155335,5.494735850728844,finetuned,False,(缺失),18.727199386516663,2.00355862547039,0.5287009063444109,0.1118568232662209,5.155989583333334,3.331855791962176,
braindao/DeepSeek-R1-Distill-Qwen-14B,2025-03-04,14.77,13.942561374741304,14.75821122241804,finetuned,True,mit,41.71575863154209,3.271232992020663,17.598187311178247,4.026845637583895,15.632291666666667,1.4110520094562635,
allura-org/Mistral-Small-24b-Sertraline-0304,2025-03-04,23.572,35.369805475643055,35.36422305424614,finetuned,True,apache-2.0,67.99902037704402,49.28145843642874,22.2809667673716,13.534675615212524,13.505468750000004,45.61724290780142,
marcuscedricridia/etr1o-v1.1,2025-03-04,7.613,4.967503215885146,6.3635176907965025,merge,False,(缺失),15.971954414287424,3.321013560260136,0.0,0.8948545861297527,7.873697916666665,1.7434988179669018,
DoppelReflEx/MiniusLight-24B-v1b-test,2025-03-04,23.572,32.3748943419153,36.20729898092608,merge,False,(缺失),37.911408396388246,50.63814760323434,23.94259818731118,17.225950782997764,16.032812500000002,48.49844858156028,
viettelsecurity-ai/security-llama3.2-3b,2025-03-04,3.213,19.977384437548874,17.12727418566948,finetuned,False,(缺失),59.08888416069362,20.597405725871987,12.613293051359516,3.243847874720355,3.9049479166666674,20.41592789598109,
bunnycore/Blabbertron-1.1,2025-03-04,7.613,36.19288822858115,33.72435413467438,merge,False,(缺失),72.65267268625026,36.60739009385717,48.036253776435046,7.046979865771815,14.695312500000004,38.11872044917258,
braindao/DeepSeek-R1-Distill-Qwen-7B,2025-03-04,7.616,11.398600284940263,9.890519557687407,finetuned,True,mit,39.6799381197445,1.9766705871500392,19.18429003021148,1.5659955257270708,4.416666666666667,1.5680407801418434,
NikolaSigmoid/acemath-200,2025-03-04,1.791,17.507477680245945,17.390578337438953,finetuned,True,apache-2.0,28.48918646967823,19.829634263073658,30.513595166163142,3.691275167785232,7.230468750000003,15.290706264775414,
NikolaSigmoid/DeepSeek-R1-Distill-Qwen-1.5B-500,2025-03-04,1.157,3.5788564701687924,3.737621949470018,finetuned,True,apache-2.0,17.48571567884325,0.3579812834224598,0.0,0.0,2.24609375,1.383348108747044,
marcuscedricridia/etr1o-v1.2,2025-03-04,14.766,39.91280232445549,40.75820316344604,merge,False,(缺失),72.86998497320442,47.700911102136416,35.87613293051359,16.778523489932887,18.297656250000003,47.95360520094562,
DoppelReflEx/MiniusLight-24B-v1c-test,2025-03-04,23.572,34.40831757695809,38.74446737070875,merge,True,cc-by-nc-4.0,37.85888110214232,52.84065809537824,29.68277945619335,19.35123042505593,16.860416666666666,49.85593971631205,
jpacifico/Lucie-7B-Instruct-DPO-v1.1.3,2025-03-04,6.707,10.946784224112012,11.462097870928536,finetuned,False,(缺失),30.44754584502453,14.5656267629867,2.416918429003021,4.809843400447425,4.955989583333333,8.484781323877066,
prithivMLmods/Gauss-Opus-14B-R999,2025-03-04,14.77,38.80249475115856,44.01398595466897,finetuned,True,apache-2.0,39.065457430728245,44.93611504035883,57.55287009063444,18.903803131991047,27.829166666666666,44.52755614657211,
DoppelReflEx/MiniusLight-24B-test,2025-03-04,23.572,20.83721280671412,26.70875631374145,merge,False,(缺失),3.9367766415333536,46.95696642451458,2.56797583081571,15.771812080536916,9.32291666666667,46.466829196217496,
Ateron/Way_of_MagPicaro,2025-03-05,12.248,20.630569141650984,24.883231145891425,merge,False,(缺失),26.37091805298829,34.315941121704846,5.8912386706948645,11.185682326621922,17.84661458333333,28.173020094562645,
yasserrmd/Coder-GRPO-3B,2025-03-05,3.086,25.914051108530288,23.393820680286765,finetuned,True,apache-2.0,62.07640172520024,22.91231134222773,32.02416918429003,3.691275167785232,10.365625000000003,24.414524231678485,
ontocord/wide_3b_sft_stage1.2-ss1-expert_fictional_lyrical,2025-03-05,3.759,4.837021332568196,6.4589489870483785,pretrained,False,(缺失),14.610566629875397,2.477490056885344,1.3595166163141994,1.9015659955257265,7.10494791666667,1.5680407801418434,
braindao/DeepSeek-R1-Distill-Qwen-14B-Blunt-Uncensored-Reflective,2025-03-05,14.77,15.258010678110056,15.425580684466144,finetuned,False,(缺失),51.39274901705253,2.698522439001891,14.72809667673716,5.033557046979867,14.483333333333327,3.2118055555555545,
h2oai/h2o-danube-1.8b-chat,2025-03-05,1.831,6.953761979021041,7.883626284842702,finetuned,True,apache-2.0,21.98699450790569,5.269859154260847,1.3595166163141994,0.5592841163310973,9.058072916666662,3.4888445626477527,
Nexesenex/pankajmathur_orca_mini_v9_6_1B-instruct-Abliterated-LPL,2025-03-05,1.236,15.011891964697456,12.031856497104643,merge,True,llama3.2,58.89905450870358,9.728333239440492,7.477341389728095,2.2371364653243813,2.8106770833333345,8.918809101654844,
nbeerbower/BigKartoffel-mistral-nemo-20B,2025-03-05,20.427,23.763763321614324,22.88084864057229,merge,True,apache-2.0,58.57181168189294,35.79864416611619,2.643504531722054,4.921700223713646,12.538541666666664,28.10837765957446,
braindao/DeepSeek-R1-Distill-Qwen-14B-Blunt-Uncensored-Blunt-Reflective,2025-03-05,14.77,17.874122056267588,16.62667237375905,finetuned,False,(缺失),55.4044380022784,6.901046016164872,23.716012084592144,3.691275167785232,11.928385416666666,5.603575650118202,
Nexesenex/Dolphin3.0-Llama3.1-1B-abliterated,2025-03-05,1.236,11.3783917872545,8.032623952829223,merge,True,llama3.1,53.11883580012146,6.8620788810826765,3.8519637462235647,0.0,0.2929687499999995,4.14450354609929,
hongbai12/li-0.4-pre,2025-03-05,14.77,36.49263658043271,36.610129260558125,merge,False,(缺失),51.99725616918665,46.72554509961223,49.24471299093656,9.731543624161072,16.64609375,44.61066784869976,
aevalone/distill_qw_test,2025-03-05,7.616,33.68409846940663,29.657985450912893,finetuned,True,apache-2.0,74.0889728143548,33.097457229677104,47.809667673716014,6.711409395973152,6.046093750000002,34.35098995271868,
ontocord/wide_3b_sft_stage1.2-ss1-expert_news,2025-03-05,3.759,4.449975118096195,5.344414116488455,pretrained,False,(缺失),16.58144833486261,1.9437982768865123,1.6616314199395772,2.348993288590602,2.9283854166666674,1.2355939716312052,
Ateron/Lotus-Magpic,2025-03-05,12.248,25.49856357813722,24.684586019628455,merge,False,(缺失),62.86076499244227,32.65772737584173,9.969788519637463,7.046979865771815,12.781770833333336,27.67434988179669,
ontocord/wide_3b_sft_stage1.2-ss1-expert_software,2025-03-05,3.759,4.290233092582329,4.583986471247066,pretrained,False,(缺失),17.33832896714052,2.499488323419256,1.5861027190332326,1.1185682326621946,1.6401041666666656,1.5588061465721037,
ontocord/wide_3b_sft_stage1.1-ss1-with_generics_intr_math.no_issue,2025-03-06,3.759,3.633703566106593,4.84521426884514,pretrained,False,(缺失),11.91527369601546,2.2297571883124263,0.6797583081570997,1.9015659955257265,3.0460937500000003,2.0297724586288406,
ontocord/wide_3b_sft_stag1.2-lyrical_law_news_software_howto_formattedtext_math_wiki-merge,2025-03-06,3.759,4.866410642270219,5.9360188704520755,pretrained,False,(缺失),16.636413604790846,3.1835355510761367,1.1329305135951662,1.342281879194629,5.667708333333334,1.2355939716312052,
ontocord/wide_3b_sft_stage1.1-ss1-with_generics_intr_math_stories_no_orig_instr.no_issue,2025-03-06,3.759,4.284721666227881,5.734631007157077,pretrained,False,(缺失),13.169279733329788,2.93878288661528,0.906344410876133,2.0134228187919474,5.075520833333335,1.6049793144208029,
ontocord/wide_3b_sft_stage1.1-ss1-with_generics_intr_math_stories.no_issue,2025-03-06,3.759,3.712730535219289,4.749657154213605,pretrained,False,(缺失),11.61551350416894,4.554520467313206,0.7552870090634441,1.789709172259505,2.187239583333333,1.374113475177304,
braindao/DeepSeek-R1-Distill-Qwen-14B-Blunt-Uncensored,2025-03-06,14.77,16.62442618013144,16.465249211587363,finetuned,False,(缺失),54.21791956453322,4.607187867121389,16.314199395770395,4.36241610738255,15.453906249999998,4.790927895981086,
ontocord/wide_3b_sft_stage1.1-ss1-with_generics_intr.no_issue,2025-03-06,3.759,4.124470876297795,5.695458560005118,pretrained,False,(缺失),12.367407368005782,3.3670533974072723,1.0574018126888218,3.243847874720355,3.475520833333334,1.2355939716312052,
duyhv1411/Llama-3.2-3B-en-vi,2025-03-06,1.236,10.861408814252767,8.968887391663309,finetuned,False,(缺失),48.520148760843455,5.946254874082537,2.2658610271903323,3.355704697986576,1.0929687500000005,3.987514775413712,
ontocord/wide_3b_sft_stag1.2-lyrical_news_software_howto_formattedtext-merge,2025-03-06,3.759,4.700634702140898,5.568965759448492,pretrained,False,(缺失),16.973629968483625,2.551802473439225,1.3595166163141994,1.342281879194629,4.593229166666666,1.383348108747044,
Nexesenex/Llama_3.2_1b_SunOrca_V1,2025-03-06,1.498,14.008724276561884,11.610811063528695,merge,True,llama3.2,54.295380700984495,7.852676178179103,6.722054380664652,3.243847874720355,2.114583333333334,9.82380319148936,
ontocord/wide_3b_sft_stage1.1-ss1-with_generics_math.no_issue,2025-03-06,3.759,3.5261580781434336,4.337352420477703,pretrained,False,(缺失),12.399876771410966,3.275690229364662,0.7552870090634441,1.1185682326621946,2.187239583333333,1.4202866430260035,
Nexesenex/Llama_3.2_1b_OrcaSun_V1,2025-03-06,1.498,14.801537525133924,11.341543487505113,merge,True,llama3.2,59.48605256275572,9.790397902616846,5.966767371601208,0.0,3.5205729166666675,10.04543439716312,
ontocord/wide_3b_sft_stage1.1-ss1-with_generics_intr_stories.no_issue,2025-03-06,3.759,3.670762265147779,4.839208641879718,pretrained,False,(缺失),11.8178654857999,2.9977998836734763,0.8308157099697886,2.1252796420581683,2.45390625,1.798906619385342,
DreadPoor/ichor_1.1-8B-Model_Stock,2025-03-06,8.03,30.01706630636859,27.05025498658777,merge,False,(缺失),80.9632885189076,32.6207492618971,17.749244712990937,7.494407158836691,9.546354166666662,31.728354018912537,
Qwen/Qwen2.5-Math-1.5B-Instruct,2025-03-06,1.544,12.024869614820515,11.917336958477373,finetuned,True,apache-2.0,18.55731680829089,12.859775311917048,26.28398791540785,2.0134228187919474,3.5343750000000003,8.900339834515366,
yasserrmd/Text2SQL-1.5B,2025-03-06,1.544,13.233972018030462,14.693190507597318,finetuned,True,apache-2.0,28.574072350252884,13.675719585052784,6.797583081570997,5.033557046979867,10.179947916666668,15.142952127659573,
qingy2024/QwEnlarge-16B-Instruct,2025-03-06,15.871,37.70013676666704,35.04024783542715,finetuned,False,(缺失),78.01821389468832,42.5954533547226,45.99697885196375,11.0738255033557,9.898958333333333,38.617390661938536,
braindao/Qwen2.5-14B-Instruct,2025-03-06,14.77,41.60549009199536,38.284527284132395,chat,True,apache-2.0,81.42539572778006,48.57308952738765,55.2870090634441,10.514541387024613,10.616666666666667,43.21623817966904,
Ateron/Glowing-Forest-12B,2025-03-06,12.248,22.612024614962053,25.529630681086054,merge,False,(缺失),35.91803082487799,35.52548240518279,7.779456193353475,11.0738255033557,15.179947916666665,30.1954048463357,
inumulaisk/eval_model,2025-03-06,1.777,12.24174390101748,12.522216649870469,finetuned,False,(缺失),19.3141974405688,9.506916615277104,29.758308157099695,3.9149888143176734,3.579427083333334,7.376625295508273,
ontocord/wide_3b_sft_stage1.2-ss1-expert_math,2025-03-06,3.759,5.136738708504239,5.559644229141334,pretrained,False,(缺失),19.151850423542868,3.1664911884922264,2.794561933534743,1.230425055928408,3.4539062499999997,1.0231973995271864,
necva/IE-cont-Llama3.1-8B,2025-03-06,8.03,5.093186530380667,5.695784416592787,finetuned,True,mit,20.490742341431847,2.3470409575204094,0.0,1.342281879194629,4.524739583333332,1.854314420803781,
ontocord/wide_3b_sft_stage1.2-ss1-expert_how-to,2025-03-06,3.759,4.2152701749908585,5.426072220537289,pretrained,True,apache-2.0,12.454842041339202,3.814087152005469,1.4350453172205435,1.230425055928408,4.659895833333335,1.6973256501182026,
DreadPoor/H_the_eighth-8B-LINEAR,2025-03-06,8.03,30.18954140441448,29.014713446500576,merge,False,(缺失),74.69347996648892,34.15424498998624,17.749244712990937,10.402684563758392,12.76015625,31.37743794326241,
ontocord/wide_3b_sft_stage1.2-ss1-expert_formatted_text,2025-03-06,3.759,4.304343127317076,5.109779020645476,pretrained,False,(缺失),14.872870649875662,3.7308056255712647,1.2084592145015105,1.5659955257270708,2.824479166666667,1.6234485815602824,
braindao/Qwen2.5-14B,2025-03-06,14.77,32.436238941896505,33.77215804604921,pretrained,True,apache-2.0,54.085493158153696,41.26351364432166,29.229607250755286,16.442953020134222,10.444270833333336,43.15159574468085,1.58760000000001e+24
NikolaSigmoid/phi-4-1steps,2025-03-06,14.704,29.87038792129772,38.274501930299124,finetuned,True,apache-2.0,5.275668559422333,52.760921126950045,29.83383685800604,20.246085011185684,23.62317708333333,47.48263888888889,
ontocord/wide_3b_sft_stage1.1-ss1-with_math.no_issue,2025-03-06,3.759,4.767499605566051,6.498294055240484,pretrained,False,(缺失),12.981888057022037,3.133656346349717,1.5861027190332326,1.342281879194629,7.928385416666669,1.632683215130022,
DreadPoor/Rusted_Platinum-8B-Model_Stock,2025-03-06,8.03,20.303818181145747,18.504276234367694,merge,False,(缺失),44.07882197015032,32.36931288487491,10.196374622356496,2.460850111856823,4.424479166666667,28.29307033096927,
NikolaSigmoid/AceMath-1.5B-Instruct-dolphin-r1-200,2025-03-06,0.928,4.389863637734279,5.02215494431838,finetuned,True,apache-2.0,18.08024929409522,1.586299722165597,0.0,0.7829977628635317,4.303125,1.5865100472813234,
DreadPoor/Rusted_Platinum-8B-LINEAR,2025-03-06,8.03,27.83034980109748,24.594087628629705,merge,False,(缺失),71.7983838437568,34.78573450204923,17.220543806646525,4.026845637583895,8.816666666666663,30.33392434988179,
NikolaSigmoid/AceMath-1.5B-Instruct-1epoch,2025-03-06,1.791,17.507477680245945,17.390578337438953,finetuned,False,(缺失),28.48918646967823,19.829634263073658,30.513595166163142,3.691275167785232,7.230468750000003,15.290706264775414,
ontocord/wide_3b-merge_test,2025-03-06,3.759,3.9416429369423778,4.073229040024113,pretrained,False,(缺失),17.628115622104904,2.934818240684116,0.0,0.0,2.35,0.7369237588652473,
ontocord/wide_3b_sft_stage1.1-ss1-no_redteam_skg_poem.no_issue,2025-03-06,3.759,4.6361259036379225,5.87167258154037,pretrained,False,(缺失),14.800396281865453,3.3516775197492783,2.0392749244712998,2.684563758389265,3.7421875,1.198655437352245,
LeroyDyer/_Spydaz_Web_AI_AGI_R1_Math_Student,2025-03-06,7.242,23.588092892468367,24.895771533347435,finetuned,False,(缺失),57.35781060918363,27.800315912370294,5.13595166163142,5.369127516778524,24.45208333333333,21.413268321513,
duyhv1411/Llama-3.2-1B-en-vi,2025-03-06,1.236,10.858146203302624,9.032558212111242,finetuned,False,(缺失),47.88317220530415,6.09240023176899,2.8700906344410875,3.5794183445190177,0.9302083333333336,3.793587470449173,
suayptalha/Lix-14B-v0.1,2025-03-06,14.766,43.31763225045196,42.191302126551776,merge,True,apache-2.0,78.13313120298585,51.473725053502925,52.94561933534743,15.99552572706935,13.422656250000005,47.93513593380615,
DeepMount00/Qwen2-1.5B-Ita_v3,2025-03-06,1.544,16.948513223691304,14.407732138570442,finetuned,True,apache-2.0,48.90479483326463,15.22652186012814,10.42296072507553,0.4474272930648763,4.269531250000001,22.41984338061465,
DeepMount00/Qwen2-1.5B-Ita_v2,2025-03-06,1.544,17.07000871129109,14.595886205132345,finetuned,True,apache-2.0,49.99889182923532,15.106125348603843,9.667673716012084,1.230425055928408,3.840104166666667,22.57683215130024,
OpenGenerativeAI/Bifrost-14B,2025-03-07,14.66,37.39963457924099,38.99083185525167,finetuned,True,apache-2.0,66.15302951723649,55.08806649361424,23.564954682779454,17.225950782997764,17.09947916666667,45.26632683215129,
mrdayl/OpenCognito,2025-03-07,3.086,22.28566396506271,22.874603791956417,finetuned,True,apache-2.0,40.6216616355714,25.985835789865742,21.148036253776432,6.375838926174497,12.434635416666667,27.14797576832151,
TIGER-Lab/AceCodeRM-7B,2025-03-07,7.616,27.34471609415536,26.053877495744437,finetuned,True,mit,58.54931581536989,26.27915814299532,34.66767371601209,7.270693512304249,11.067708333333336,26.23374704491725,
TIGER-Lab/AceCoder-Qwen2.5-7B-Ins-Rule,2025-03-07,7.616,35.10989936210928,31.28469654435149,finetuned,True,mit,74.24134629449861,35.040755991620735,49.92447129909365,6.823266219239373,7.720572916666666,36.90898345153664,
TIGER-Lab/AceCoder-Qwen2.5-Coder-7B-Base-Rule,2025-03-07,7.616,21.333370512930014,18.838569130417994,finetuned,True,mit,44.07627317739154,29.405351182469055,20.166163141993955,2.9082774049217,0.9440104166666662,30.50014775413712,
iFaz/llama32_3B_en_emo_2000_stp,2025-03-07,1.848,23.911624360048616,19.93659802849431,finetuned,True,apache-2.0,73.68681764385164,23.416054848493687,15.332326283987916,4.4742729306487705,3.2539062500000004,23.30636820330969,
TIGER-Lab/AceCoder-Qwen2.5-Coder-7B-Ins-Rule,2025-03-07,7.616,28.02995967932972,25.015721784653913,finetuned,True,mit,62.22378843690298,30.54299135823097,36.027190332326285,3.691275167785232,8.712760416666667,26.981752364066192,
lars1234/Mistral-Small-24B-Instruct-2501-writer,2025-03-07,23.572,39.85579031723165,41.530233111333686,finetuned,True,apache-2.0,65.65346613651778,52.78404012259051,35.57401812688822,18.568232662192397,17.133072916666663,49.42191193853428,
DreadPoor/Rusted_Gold-8B-LINEAR,2025-03-07,8.03,29.31884390292816,27.114106636796627,merge,False,(缺失),72.96240641497891,34.12086145705898,19.335347432024168,6.487695749440718,12.11875,30.888002364066192,
mrdayl/OpenCogito,2025-03-07,3.086,22.15854722544321,22.768039334528964,finetuned,False,(缺失),39.33773498761065,26.332720219789724,21.827794561933533,6.711409395973152,11.501302083333336,27.24032210401891,
KingNish/Reasoning-0.5b,2025-03-07,0.494,7.163893227645488,7.3962237427785045,finetuned,True,apache-2.0,21.7421995859874,7.491210642552303,2.190332326283988,2.348993288590602,2.0833333333333326,7.127290189125294,
LeroyDyer/_Spydaz_Web_AI_AGI_R1_Math_AdvancedStudent,2025-03-07,7.242,24.34166379927646,25.625950052775,finetuned,False,(缺失),59.50854842927876,28.14931404573185,5.438066465256798,5.592841163310966,25.14453125,22.21668144208038,
OpenGenerativeAI/Bifrost,2025-03-07,14.66,37.14746413152554,38.490092599225335,finetuned,True,apache-2.0,63.47524568145853,55.09700864855187,25.45317220543807,15.771812080536916,16.870052083333338,46.21749408983452,
iFaz/llama32_3B_en_emo_300_stp,2025-03-07,1.848,23.75197000352155,19.638777908941083,finetuned,True,apache-2.0,72.5552644760347,22.939796393832054,16.012084592145015,3.243847874720355,3.891145833333335,23.869680851063837,
marcuscedricridia/Hush-Qwen2.5-7B-Preview,2025-03-07,7.613,35.12716296399811,32.36241094566436,merge,False,(缺失),79.62439660101863,35.32875647048946,37.53776435045317,8.165548098434002,12.7265625,37.37994976359338,
TIGER-Lab/Qwen2.5-Math-7B-CFT,2025-03-07,7.616,23.521464490408093,22.874929572079296,chat,True,apache-2.0,27.769762009246577,24.585137970728173,55.740181268882175,4.809843400447425,6.61666666666667,21.607195626477537,
NikolaSigmoid/phi-4-300steps,2025-03-07,14.704,29.960260183698757,38.48148930803991,finetuned,True,apache-2.0,5.607898154674043,52.64505879688579,29.45619335347432,20.69351230425056,23.71927083333333,47.63962765957447,
DreadPoor/inexpertus_1.1-8B-LINEAR,2025-03-07,8.03,29.60954761227837,27.04750089973392,merge,False,(缺失),75.27050448365891,36.1991911954092,17.29607250755287,6.375838926174497,11.10130208333333,31.414376477541367,
Lunzima/NQLSG-Qwen2.5-14B-MegaFusion-v9,2025-03-07,14.766,38.87089983109002,41.79894396906912,merge,False,(缺失),52.35198163096141,50.25550159491318,43.65558912386707,18.45637583892617,19.3703125,49.13563829787233,
AicoresSecurity/Cybernet-Sec-3B-R1-V1.1,2025-03-07,3.213,22.6434068109946,18.944929433313977,finetuned,False,(缺失),67.30209178313541,20.43056853928926,17.598187311178247,2.796420581655479,4.528385416666668,23.204787234042552,
AicoresSecurity/Cybernet-Sec-3B-R1-V1,2025-03-07,3.213,19.9979903395144,16.102709265774262,finetuned,False,(缺失),61.45693426774292,19.125071594281845,15.181268882175228,1.45413870246085,1.920572916666666,20.849955673758867,
stupidity-ai/Llama-3-8B-Instruct-MultiMoose,2025-03-07,8.03,4.768701692265338,4.635332035420472,merge,True,llama3,23.181048506850715,1.2076926870097695,0.0,0.4474272930648763,2.734375,1.041666666666666,
ontocord/wide_6.6b_sft_stag1.2-lyrical_law_news_software_howto_formattedtext_math_wiki-merge-stacked,2025-03-07,7.888,3.97781016722033,5.259844868237071,pretrained,False,(缺失),12.439881736015993,3.014694718783778,1.4350453172205435,2.1252796420581683,3.579427083333334,1.2725325059101646,
prithivMLmods/Viper-Coder-v1.7-Vsm6,2025-03-07,14.766,38.68288111891892,41.94714267853206,finetuned,True,apache-2.0,50.03889679384034,49.533250464441856,46.45015105740181,19.57494407158837,18.860416666666666,47.63962765957447,
LeroyDyer/_Spydaz_Web_AI_AGI_R1_OmG_Math,2025-03-07,7.242,19.84226778022403,19.68936763611945,finetuned,False,(缺失),50.33112142448702,25.173866858214165,4.758308157099698,4.36241610738255,13.171614583333335,21.256279550827426,
KingNish/qwen-1b-continued-v2,2025-03-07,1.277,4.4416424249765365,4.723082513483131,pretrained,True,apache-2.0,15.787111530738445,4.989232311632899,1.0574018126888218,0.0,2.675520833333333,2.14058806146572,
LeroyDyer/_Spydaz_Web_AI_AGI_R1_Math_Teacher,2025-03-07,7.242,23.69427042218614,24.99878610914526,finetuned,False,(缺失),57.72250960784053,26.94544131311821,5.438066465256798,4.809843400447425,25.51328125,21.736480496453904,
DoppelReflEx/MiniusLight-24B-v1d-test,2025-03-07,23.572,34.681949426054764,38.801950482915295,merge,True,cc-by-nc-4.0,40.32433941940717,52.35844104160633,29.45619335347432,19.35123042505593,16.727083333333333,49.87440898345154,
tensopolis/qwen2.5-7b-tensopolis-v1,2025-03-07,7.616,35.49167672948769,32.35055720975429,merge,True,apache-2.0,76.60939640154788,34.78352811189759,45.61933534743202,6.152125279642054,13.467708333333334,36.31796690307328,
DreadPoor/inexpertus-8B-Model_Stock,2025-03-07,8.03,29.70787002354444,27.50087513073806,merge,False,(缺失),77.95327508787796,32.4633736795138,17.069486404833835,7.941834451901568,11.811197916666664,31.00805260047281,
Lunzima/NQLSG-Qwen2.5-14B-MegaFusion-v9-stock,2025-03-07,14.766,40.70544769121661,42.515469099743825,merge,False,(缺失),65.13639365771708,50.620019436503945,41.842900302114806,17.897091722595075,19.711458333333336,49.02482269503546,
