model_dir,n_tasks,mean_all,ifeval,bbh,math,gpqa,musr,mmlu_pro
DreadPoor_H_the_eighth-8B-LINEAR,44,44.11898201843811,75.95618514430599,53.83086980260956,16.33313668964534,33.62108971379105,41.71276041666667,38.239694148936174
DreadPoor_Happy_New_Year-8B-Model_Stock,44,43.58210793707283,78.10564856802173,53.67396235597145,14.385521733177326,31.863082969416865,41.84114169973545,38.78823138297872
DreadPoor_Heart_Stolen-8B-Model_Stock,44,43.88120793170786,73.76799115236462,53.94935837420503,15.916521946359847,31.84828955068049,41.60078538359789,37.9404920212766
DreadPoor_Heart_Stolen-ALT-8B-Model_Stock,44,42.50986630781007,73.96657535339565,52.62951703151455,14.066307902013058,30.11736469160966,40.53154761904762,37.72440159574468
DreadPoor_Here_We_Go_Again-8B-SLERP,44,44.332988495622836,75.98865454771118,54.59515150913221,15.500628031234559,32.48469348511295,41.85051669973545,38.73005319148936
DreadPoor_Howdy-8B-LINEAR,44,43.860558015362244,75.49906470387461,53.836544317903304,16.227974319534702,31.67805552715368,41.19454778439154,38.06515957446808
DreadPoor_Incidental-8B-Model_Stock,44,44.001192534680115,76.38582294977327,54.51450034495922,14.387559472840044,30.995193867467357,42.38279183201058,38.73005319148936
DreadPoor_Irina-8B-model_stock,44,41.13278354151998,70.35332916661126,52.36095459983363,9.217924874513074,28.400501088210817,40.00864748677249,35.73803191489361
DreadPoor_Kindling-8B-Model_Stock,44,44.408412427262725,74.6497626298222,54.91501263116869,15.837884536155666,32.23695057273078,40.66461640211641,38.297872340425535
DreadPoor_L3.1-BaeZel-8B-Della,44,43.76001304084839,52.16713874741242,54.47834941855503,15.699077386491634,32.27998086691459,41.981241732804236,39.020944148936174
DreadPoor_Laughing_Stock-8B-Model_Stock,44,43.588943725187356,73.61561767222081,54.48706040635993,14.051529692374427,29.293931797602102,41.4419353505291,37.64128989361702
DreadPoor_Lava_Lamp-8B-SLERP,44,43.713193952967764,75.5315341072798,53.672211870041366,15.995943887948675,31.07493678487806,41.85286044973545,37.5
DreadPoor_LemonP-8B-Model_Stock,44,44.143458887184586,78.5278062208274,54.38750370701191,16.232173922699612,30.452247230770723,40.792997685185185,40.04321808510639
