N_B,tokens_per_param,Q,dQ,dL_gain,gain_over_Nterm,N_equiv_multiplier,extra_params_B,substitutable_by_N,gain_over_Dterm,D_equiv_multiplier,substitutable_by_D
175.0,100,0.6805,0.1,0.009152137237941727,0.14970103975346863,1.61116507762751,106.95388858481424,True,0.11384088923605212,1.539633038814391,True
175.0,100,0.8,0.1,0.009152137237941504,0.16561722799248285,1.703240679454319,123.0671189045058,True,0.1214909273306012,1.5880433003716175,True
175.0,100,0.9,0.1,0.009152137237941727,0.18179005751812702,1.8041699815736638,140.72974677539116,True,0.12872936037112442,1.6356572065724484,True
175.0,100,0.5,0.3,0.02745641171382518,0.39218126178854396,4.324659375707828,581.8153907488698,True,0.3118644972623402,3.798473866456384,True
175.0,100,0.5,0.5,0.04576068618970841,0.6536354363142367,22.60992767614874,3781.7373433260295,True,0.5197741621038978,13.722900861073523,True
175.0,100,0.6805,0.3,0.02745641171382518,0.44910311926040586,5.774972456218781,835.6201798382866,True,0.34152266770815637,4.445563687815723,True
175.0,1000,0.5,0.1,0.007138956221924397,0.10197125859522699,1.372082473971229,65.11443294496507,True,0.15453187814281738,1.8210006815877553,True
175.0,1000,0.6805,0.1,0.007138956221924397,0.11677154105011259,1.440810952116537,77.14191662039399,True,0.16922778877549333,1.9386596844293598,True
175.0,1000,0.8,0.1,0.007138956221924175,0.1291866707738203,1.50206637395294,87.86161544176451,True,0.18059979262644976,2.036456283966836,True
175.0,1000,0.9,0.1,0.007138956221924175,0.1418019888100863,1.567937774969725,99.38911061970187,True,0.1913599336080151,2.134880236094315,True
175.0,1000,0.5,0.3,0.02141686866577297,0.3059137757856778,2.9270235244496954,337.22911677869666,True,0.46359563442844737,9.244592691026046,True
